input,output,meaning,pos,num_cognates
[sga] damnaid [grc] δάμνημι [san] दमयति [san] दाम्यति [grc] δμῆσις [grc] δάμαρ [grc] δμητός [san] दमित [sqi] dem [hit] 𒋫𒈠𒀸 [grc] δαμάζω [grc] δάμαλις [grc] δαμάλης [grc] δάμαλος [grc] δμώς [grc] δμῳή [san] दमायति [fas] دام,*demh₂-,"to tame, domesticate",root,18
[san] रोहति [ave] 𐬭𐬀𐬊𐬜𐬆𐬧𐬙𐬌 [xto] lut- [txb] lut- [grc] ἐλεύθερος [lat] lībertus [lat] līberta [sqi] lirë [lat] lībertās [sqi] lem [sqi] len [sqi] vëlla [san] रोध [ave] 𐬭𐬀𐬊𐬜𐬀 [pus] لويېدل [fas] رستن [san] रुह्,*h₁lewdʰ-,"to grow, people",root,23
[hit] 𒀀𒆪 [hit] 𒂊𒆪 [xlu] 𒌋 [pal] 𒀀𒄷 [grc] νήφων [xto] yok- [txb] yok- [lat] ēbrius,*h₁egʷʰ-,to drink,root,17
[grc] στέγω [lat] tegō [grc] στέξαι [lat] tēxī [san] स्थगयति [sga] tí [lat] tēgula [lat] tegmen [lat] tegimen [lat] tegumen [lat] tignum [grc] στεγνός [grc] στεγανός [sqi] toger [lat] tugurium [lat] tegurium [lat] tigurium [lat] toga [lav] stâgs [lit] stógas [prg] stogis [bre] to [cym] to [gle] éadach [gla] aodach [mid] tʾht' [fas] طاق,*(s)teg-,to cover,root,27
[lat] tēlum [xcl] թակն [lat] tignum,*(s)teg-,"pole, stick, beam",root,3
[sqi] jam [sqi] është [xcl] եմ [xcl] ես [xcl] է [xcl] են [xcl] -ի- [lav] būt [lav] esmu [lav] esi [lav] ir [lit] būti [lit] esu [lit] esi [lit] yra [prg] ast [grc] εἰμί [txb] ste,*h₁ésti,to be,verb,45
[sqi] gatë [ell] χήνα [gmy] 𐀏𐀜 [gmy] 𐀏𐀯,*ǵʰh₂éns,goose,noun,4
[lit] nãgas [lav] nags,*h₃nṓgʰs,nail (of the finger or toe),noun,2
[hye] ծնոտ [prg] żauna [grc] γένυς [lat] gena [xto] śanweṃ,*ǵénus,"cheek, jaw, chin",noun,7
[grc] τῖφος [lat] tābēs [lat] tābēo [lat] tābum [bre] teuziñ [cym] toddi [sga] ·taa [sga] ro·tetha [grc] τήκω [sga] taíd [eng] thone [eng] thoan [sga] tám [sga] taise [sga] tais [xcl] թանամ [xcl] թան [xcl] թանչ [lit] tyras [lav] tīrelis [san] तामर [san] तोयम् [san] तोशते [san] तुषार,*teh₂-,"to melt, to flow, stream",root,26
[lat] tabulum [lat] tabula,*teh₂-,alternative form of *steh₂-,root,2
[san] अवर्त् [san] वर्तते [lat] vertō [lit] versti [grc] ἔρρω [san] वर्तन [san] वर्त्मन् [san] वृत्त [lat] versus [sqi] rris [fas] گرد [san] वृत्,*wert-,"to turn, to rotate",root,12
[sqi] pidh [lav] pīzda [lit] pyzdà [prg] peisda [fas] پیزی,*písdeh₂,vulva,noun,8
[lav] klāt [lit] klóti,*kleh₂-,"to put, to lay out",root,2
[sqi] enjë [grc] ἀμνός,*h₂egʷnós,lamb,noun,2
[sqi] çë [xcl] -չ [hit] 𒆪𒀉 [xlu] 𒆪𒄿 [pal] 𒆪𒀉 [grc] τί [san] चिद् [san] चित् [ave] 𐬗𐬌𐬝 [ave] 𐬗𐬍𐬝 [lat] quid,*kʷíd,neuter nominative/accusative singular of *kʷís: what? which?,pron,11
[xcl] նաւ [bre] new [mid] noe [gle] nae [isl] nór [lat] nāvis,*néh₂us,boat,noun,9
[hit] -z,*-ti,"Adverbial suffix with ablative or instrumental meaning, sometimes multiplicative",suffix,1
[grc] -μί [lat] -ō,*-ti,Forms regular imperfective verbs,suffix,2
[san] दिति [lat] dōs,*déh₃tis,giving,noun,2
[xcl] իժ [txb] auk,*h₁ógʷʰis,"snake, a mythic serpent or dragon that is slain by a great hero in Indo-European mythology",noun,3
[bre] c'hwerv [cym] chwerw [gle] searbh [gla] searbh [deu] Schwäre [cym] chwarren [ave] 𐬓𐬀𐬭𐬀,*swer-,"to ache, to fester, wound; injury",root,7
[san] स्वरति [san] अस्वार् [bre] c’hoarzhin [cym] chwerthin [lat] surdus [lat] susurrus,*swer-,"to resound; ringing, whistling, to speak loudly, to proclaim",root,6
[hit] āraskizzi [grc] ἔρχομαι [san] ऋच्छति [old] 𐎠𐎼𐎿𐎶 [san] आरत् [hit] āri [san] आर [san] ऋति,*h₁er-,"to arrive, get somewhere, to go to, reach",root,8
[sqi] varr [lit] érdvė [cym] erw [grc] *ἔρα [grc] ἔραζε [txb] āre,*h₁er-,earth,root,6
[xcl] աւղի [san] अरुष [ave] 𐬀𐬎𐬭𐬎𐬱𐬀,*h₂elut-,beer,noun,3
[hit] 𒉺𒊏𒀀 [prg] pra [prg] pro [grc] πρό [san] प्र [old] 𐎳𐎼,*pró,"forwards, before",adv,6
[sqi] prush [san] प्रुष्वा,*prews-,"to freeze, frost",root,2
[sqi] thnegël [hye] օձ [hye] անգի [gle] eascann [gla] easgann [cym] llysywen [lat] anguis [deu] Unke [fas] یغنیج,*h₂éngʷʰis,snake,noun,10
[hit] kuraski[zzi] [hit] kureskanzi [hit] ku-e-er-šu-un [hit] kur-ša-a-i [hit] ku-kur-ša-an-t- [hit] ku-gur-ša-an-t- [san] चिकीर्षति [hit] kurkuriyat [san] करिकृत् [san] कारयति [san] कारयते [san] चकार [ave] 𐬗𐬁𐬑𐬭𐬀𐬭𐬆 [old] 𐎨𐎧𐎼𐎡𐎹𐎠 [san] कर्मन् [ell] πελώριος [fas] کار [san] कृति [gle] cruth [gla] cruth [cym] pryd [cym] prydaf [san] कार्य [ave] 𐬐𐬀𐬌𐬭𐬌𐬌𐬀 [sqi] sarkë [lit] kẽras [lit] kerė́ti [lit] kùrti [cym] Prydain [cym] Brython [lat] Brittānia [got] 𐍈𐌰𐌹𐍂𐌽𐌴𐌹 [grc] τέρας [fas] ـگر [xto] karel [txb] kerū,*kʷer-,"to do, to make, to build, bowl, vessel",root,62
[grc] κέρᾰς [lat] crās [lat] cernuus [lat] cerebrum [prg] sirwis [grc] κερᾰός [grc] κερᾱΐς [lat] cervus [lit] kárvė [san] शृङ्ग [lat] cornū [xcl] սար [san] शिर [ave] 𐬯𐬁𐬭𐬀 [ave] 𐬯𐬀𐬭𐬀 [lav] sir̂senis [lit] širšuo [lit] ši̇̀ršė [lat] crābrō [sqi] krye [hit] karau̯ar [hit] surna [hit] harsar [grc] κάρυον [grc] κεραυνός,*ḱerh₂-,"head, top, horn",root,25
[san] अश॑री॒त् [san] शृ॒णाति॑ [san] शीर्य॑ते॒ [san] शीर्ण [grc] ακέραιος [grc] κεραΐζω [san] शॄ,*ḱerh₂-,"to break, shatter",root,7
[xcl] տուր [grc] δῶρον,*déh₃rom,gift,noun,2
[sqi] mo [hye] մի [grc] μή [xto] mā [txb] mā,*méh₁,"prohibitive particle: ""don't ...!""",particle,5
[xcl] գիշեր [grc] ἕσπερος [lat] vesper,*wek⁽ʷ⁾speros,evening,noun,3
[san] ईजते [lat] (co)āgulum [san] अज्मन् [lat] exāmen [lit] agnùs [grc] ᾰ̓γός [san] अज [ell] άγρα [ave] 𐬀𐬰𐬭𐬋𐬛𐬀𐬌𐬜𐬍 [lat] gestō [cym] amaeth [gle] amhas [lat] ambactus [lat] ambaxtus [grc] ἐπᾰκτός [lat] āctus [grc] ᾰ̓́κτωρ [lat] actor [san] आजि [xto] akäṃtsune [txb] ekaññe [xto] āk- [txb] āk- [san] अज्,*h₂eǵ-,to drive,root,26
[lit] oženà [lit] oži̇̀nis [san] अजिन [lav] āzis [lit] ožỹs [lit] ožkà [prg] wosux,*h₂eǵ-,goat,root,7
[lit] *-kla [grc] -τλον [lat] -clum [lat] -culum [lat] -crum [lat] -ulum,*-tlom,alternative form of *-trom,suffix,6
[grc] -θρον [grc] -θρη [lat] -brum [lat] -bra,*-dʰrom,alternative form of *-trom,suffix,8
[grc] -θλον [grc] -θλη [lat] -bulum [lat] -bula [lat] -ula,*-dʰlom,alternative form of *-trom,suffix,5
[hit] išḫunawar [hye] նյարդ [lav] šņore [grc] νεῦρον [san] स्नावन् [san] अस्नाविर [ave] 𐬯𐬥𐬁𐬎𐬎𐬀𐬭𐬆 [fas] سنور [lat] nervus [txb] ṣñor,*snéh₁wr̥,"sinew, tendon",noun,10
[san] दृणाति [ave] 𐬛𐬆𐬭𐬆𐬥𐬆𐬧𐬙𐬌 [got] *𐍄𐌰𐌿𐍂𐌽𐌰𐌽 [got] 𐌰𐍆𐍄𐌰𐌿𐍂𐌽𐌰𐌽 [got] 𐌳𐌹𐍃𐍄𐌰𐌿𐍂𐌽𐌰𐌽 [san] ददार [grc] δέδαρται [grc] δέρμα [grc] δάρσις [san] दृति [cym] darn [fra] darne [sqi] djerr [lit] di̇̀rti [sga] drécht [san] दर्दर्षि [ave] 𐬥𐬌𐬲𐬛𐬀𐬭𐬆𐬛𐬀𐬌𐬭𐬌𐬌𐬁𐬝 [san] दीर्यते [san] दॄ [xto] tsär- [txb] tsär-,*der-,"to split, to separate, to tear, to crack, to shatter",root,23
[xcl] հողմ [lat] anima,*h₂enh₁mos,breath,noun,3
[hye] այգ [grc] ἠώς [lat] aurōra,*h₂éwsōs,"dawn, goddess of dawn, bringer of light",noun,3
[sqi] madh [sqi] më [hit] 𒈨𒂊𒅅𒆠𒅖 [hye] մեծ [grc] μέγας [grc] ἀγα- [grc] ἄγᾱν,*méǵh₂s,"big, great",adj,13
[san] केकर,*kéh₂ikos,"one-eyed, blind",adj,1
[sqi] bërryl [sqi] ylber [sqi] llanë [sqi] llërë [ell] ωλένη [lat] ulna [lit] liemuõ [lat] līmus [hye] ող [hye] ուլ [xcl] ուղուկ [hye] իլ [xcl] ալի [hye] աղեղ [lav] olekts [lav] elkonis [lit] úolektis [lit] alkū́nė [lit] elkū́nė [prg] arašnīs [prg] woaltis [prg] woltis [prg] alkunis [cym] olwyn,*Heh₃l-,"to bow, to bend; elbow",root,41
[xcl] ամ- [ell] άπαξ [fra] hapax [fra] apax [lat] semper [lat] simītu [lat] simplex [lat] simplus [san] स-,*sm̥-,"one, with, together",prefix,13
[xcl] -այն [xcl] -ին [lit] -inas [lav] -īns [lav] -ains [grc] -ινος [san] -ईन,*-iHnos,Creates adjectives of materials.,suffix,7
[xcl] ընթաց [xcl] ընթանամ [xcl] անցանեմ,*sent-,to go,root,3
[lat] sentiō [lat] sēnsī [lit] sintė́ti,*sent-,"to perceive, to think",root,4
[sqi] mi [hye] մուկ [grc] μῦς [lat] mūs,*múHs,mouse,noun,5
[san] अयोक् [ave] 𐬫𐬀𐬊𐬔𐬆𐬝 [grc] ἔζευξα [non] eykr [san] योग्य [grc] ζεῦγμα [cel] Ateioucus [grc] ἄζυξ [san] अयुज् [san] योक्तृ [grc] ζευκτήρ [san] युग्म [san] युज् [san] युज्य [san] युग्य [gle] cuing [gla] cuing,*yewg-,"to join, to yoke, to tie together",root,17
[sqi] vjehërr [lit] šẽšuras [grc] ἑκυρός,*swéḱuros,father-in-law,noun,3
[xcl] ստին [grc] στήνιον [grc] παρθένος [grc] παρσένος [xto] päśśäṃ [txb] päścane,*pstḗn,"breast, teat",noun,6
[hit] 𒈬𒍝 [lat] vetustus [lyc] uhe/i- [grc] ἔταλον [grc] ἔτελον [lat] vitulus,*wet-,"year, year-old",root,6
[lat] metō [gle] meitheal [grc] μέταλλον [lat] mateola,*met-,"to cut (by measure) (with an inherent sense of by measurement or time: ""to cut down"" > ""to mow""; ""to cut into"" > ""plow"")",root,4
[xto] yowäs [txb] yopsa [xlu] 𒄿𒉺𒆷𒀀𒋾𒅔 [xlu] 𒄿𒉺𒆷𒀀𒋾𒂗 [xlu] 𒄿𒉺𒈠𒀭𒍝𒀸𒋫 [xlu] 𒄿𒈦𒉿𒀸𒄩𒀸 [xlu] 𒄿𒈦𒉿𒀸𒅆𒅖 [xlu] 𒀹𒄿𒉺𒋻𒈠𒅀𒀭 [hit] epurae- [grc] ζέφυρος [grc] Ζέφυρος [gmy] 𐀽𐁆𐀫 [grc] ζόφος [goh] Wetereiba [goh] Wingarteiba,*h₃yebʰ-,"to enter into, penetrate, to copulate",root,19
[lav] plàušas [lav] plàuši [lit] plaũtis [lit] plaũčiai [chu] пловѫ [grc] πλέω [lat] pluit [xto] plu- [txb] plu- [chu] плоу [grc] ἔπλευσα [san] अप्लोष्ट [txb] plyuwai [san] प्लव [txb] plewe [lav] plàukts [lav] plàuts [lit] plaũtas [isl] fleyður [grc] πλοῦτος [grc] πλοῖον [lat] pluvius [hye] լվանալ [grc] πλῡ́νω [san] प्लु,*plew-,"to fly, flow, run",root,37
[grc] πλεύμων [san] क्लोमन् [lat] pulmō,*pléwmō,"lung, (literally) floater",noun,3
[grc] πνέω [grc] πνείω [mid] pfnurren [isl] hnerra [grc] ἔπνευσε [san] क्षवः,*pnew-,"to breathe, gasp, to snort, sneeze",root,6
[grc] πνεῦμα [grc] πνεύμων,*pnéwmn̥,breath,noun,2
[grc] πλυτός [san] प्लुत,*plutós,"washed, floated",adj,2
[lav] plūdi [sga] luaidid [lit] plū́sti [mid] vliet [isl] fljótur [eng] fleet [ang] flot [nld] vlot [non] flot [lat] plaustrum,*plewd-,"to fly, flow, run",root,11
[lit] plúkti [lat] plūma [lav] plaûki [lit] pláukas [lav] plūksnas [lav] plūksnes [lit] plùnksna [lit] plū́ksna [prg] planxdine [lit] plaũkti,*plewk-,"to fly, flow, run, to splash, flap with hands",root,10
[san] नशन्ति [san] अनशत् [xto] näk- [txb] näk- [xto] ñakäs [txb] nekasta [xto] nkäs [txb] nakṣtär [txb] -nakṣi [san] ननाश [ave] 𐬬𐬍𐬥𐬇𐬥𐬁𐬯𐬁 [txb] neku [san] नाश [san] नष्ट [ave] 𐬥𐬀𐬱𐬙𐬀 [ave] 𐬥𐬀𐬯 [lat] nex [lat] necō [ell] νεκρός [grc] νέκταρ [xto] oṅk [txb] eṅkwe,*neḱ-,"to perish, disappear",root,22
[hit] 𒋼𒀀𒀊𒍣 [lav] cìrpt [lit] kir̃pti [lat] carpō [hit] 𒋼𒀀𒁉𒄿𒄑𒍣 [hit] 𒋼𒀀𒀊𒁉𒄑𒍣 [grc] καρπός [gmy] 𐀏𐀡 [sqi] kërpudhë [lit] šķērpêt [chu] почрѣти [san] कृपाणी [san] कृपाण,*kerp-,"to cut off, raze, to pick up, lift; to take and carry away, to pluck, pick (e.g. fruit), to reap, harvest",root,24
[hit] 𒋻𒊏𒀜𒋫 [san] अतारीत् [san] तारिषत् [san] तुरयन्ते [old] 𐎻𐎡𐎹𐎫𐎼/𐎹𐎶 [lat] intrō [hit] 𒋻𒈾𒄿 [san] ततार [san] तितिरुर् [san] तूतूर्षति [san] तितीर्षति [grc] νέκταρ [san] तरी [grc] ἀτέραμνος [san] दुष्तरीतु [san] तीर्ण [san] तीर्थ [san] तार [sqi] tras [san] तॄ,*terh₂-,"to cross over, pass through, overcome",root,26
[grc] τέρμα [grc] τέρμων [san] तर्मन् [san] सुतर्मन् [lat] termen [lat] terminus [lat] termō,*térmn̥,"boundary, end",noun,15
[sqi] qos [lit] kliudýti [lav] kļūdīt [lav] kļūdīties [lat] claudō [lat] clūdō [lat] claustrum [lav] kļũt [lit] kliū́ti [lit] kliáuti [grc] κληΐω [grc] κληΐς [grc] κλήϊθρον [gmy] 𐀏𐀨𐀹𐀡𐀫 [lat] clāvis [lat] clāvus [grc] κλῳός,*kleh₂w-,"a hook, crook, peg, to close something",root,17
[grc] σκέλος [grc] τρισκελίς [lat] scelus [xcl] շար-աւանդ [fas] شل [fas] شلوار [grc] σαράβαρα [grc] σαράβαλλα [lat] sarabala [lat] sarabāra [sqi] çalë [grc] κῶλον [grc] κόλων [sqi] shkal [xcl] խուլ [lit] atsikalti [grc] κυλίνδω [grc] κύλινδρος [grc] κυλλός [grc] σκολιός [grc] σκολίωσις [grc] σκολίωμα [grc] σκώληξ [lat] calix,*(s)kel-,"to bend, crook, bent, crooked, leg, heel, knee, hip",root,25
[grc] σκέλλω [grc] σκελετός [eng] shoal [eng] shallow [deu] schal [grc] σκληρός [deu] hellig [lav] kalst,*(s)kelh₁-,"to parch, wither",root,8
[hye] առիք [xcl] արդն [chu] ратище [chu] ратовище,*reh₁t-,"post, beam, pole",root,4
[san] रदति [lat] rōdō [lat] rōstrum [hit] ardu- [ave] 𐬭𐬁𐬜𐬀𐬌𐬙𐬌 [mid] lndyt,*Hreh₃d-,"to scrape, scratch, gnaw",root,6
[lat] trītus [lat] trīcae [lat] trībulum [lat] trībulō [lat] septentriō [lat] tergō [lat] tergeō [grc] τρῑ́βω [grc] τρίβος [grc] τριβή [grc] τρώγω [grc] τράγω [grc] τράγος [lit] trūnė́ti [grc] τέρυ [grc] τρύω [grc] ἄτρυτος [grc] τρῦμα [grc] τρύ̄μη [grc] τρῡτάνη [grc] τιτρώσκω [grc] τρώω [grc] τρῶσις [grc] τρῶμα [grc] τραῦμα [grc] τρύχω [grc] τρῡπάω [grc] τρύ̄πανον [grc] τρύ̄πη [grc] τρῦπα [lat] terō [grc] τείρω [lat] terebrum [lat] terebra [grc] τέρετρον [grc] τόρμος [grc] τόρνος [grc] τορός [grc] τόρος [grc] τορεύς [lat] teres [grc] τρῆμα [grc] τρῆσις [grc] τρητός [xcl] արածեմ [xcl] արաւտ [xcl] թուր [xcl] թրթուր [grc] τετραίνω [lat] trūcta,*terh₁-,"to rub, turn, to drill, pierce",root,50
"[xcl] կեղ [xcl] կեղեմ [xcl] կեղերջ [pus] غوزارول [fas] گرزین [lav] dzel̂t [lit] gélti [grc] βέλος [grc] βελόνη [grc] βέλεμνον [cel] Belatucadros [lat] volō [grc] βαλλίζω [grc] βλῆμα [grc] βλητός [grc] βλῆτρον [grc] βολέω [lav] gals [lit] gãlas [prg] gallan (acc.), golis [grc] βόλος [lit] gėlà [lav] žēl [rus] жаль [grc] βάλλω [grc] βολή [grc] βολίς [san] उद्गूर्ण",*gʷelH-,"to throw, reach, pierce; to hit by throwing",root,28
[san] ग्लै [san] ग्लाति [txb] klāy- [lit] gul̃ti [lav] gul̃t [san] गरण,*gʷelH-,"to drip, ooze",root,6
[lav] -vs [lit] -vas [prg] -was [grc] -ός [san] -व [ave] -𐬎𐬎𐬀,*-wós,Creates adjectives from verb stems.,suffix,6
[lat] solidus [lat] solox [ell] όλος [eng] holo- [sqi] gjallë [lat] salvus [san] सर्वताति [eng] Haurvatat [eng] Khordad [grc] ὁλότης [lat] sollus [lat] sollemnis [gle] slán [gla] slàn [lat] salūs [hye] ողջ,*solh₂-,whole,root,19
[lat] adoleō [lat] alimentum [lat] almus [lat] altus [lat] alvus [lat] (ind)olēs [lat] (pr)ōlēs [grc] ἀλθαίνω,*h₂el-,"to grow, nourish",root,8
[sqi] lloj [san] अरण [lat] ollus [lat] olle [lat] ōlim [lat] ille [xto] ālak [txb] allek [txb] āläm [txb] ālo,*h₂el-,"beyond, other",root,10
[sqi] lloj [hye] ողջ [lit] aliai,*h₂el-,"all; each, every; entire, whole",root,3
[lat] pīca [lat] Pīcumnus [lat] pīcus [prg] picle [san] पिक,*(s)peyk-,"name of a bird, woodpecker, name of a bird, magpie",root,5
[lat] pinsō [lav] pist [lit] pi̇̀sti [lat] pīsō [san] पिष्ट [mid] pst' [lat] pistus [ave] 𐬞𐬌𐬱𐬙𐬭𐬀 [lat] pīlum [lat] pīla [lat] Pīlumnus [lat] pistillum [lav] paisīt [lav] paise [lit] paišai̇̃ [lit] pai̇̃šos [lit] piẽšos [lit] puišai̇̃ [lit] pui̇̃šos [lit] pišai [lit] piešà [lit] piẽšas [lit] pi̇́ešas [lav] paisums [lav] pìesta [lav] piests [lit] piestà [lit] piẽstas [grc] πτίσσω [san] पिष्,*peys-,"to grind, to crush",root,34
[lat] pigeō [lat] piger [lit] pigùs [lat] piguus,*peyǵ-,"inactive, reluctant",root,4
[lit] sù [gle] comh- [gle] cuma [gla] co- [gla] coma [bre] ken- [cym] cyf- [cym] cyn- [lat] cum [lat] com- [txb] aṅkānmi,*ḱóm,"beside, near, by, with",adv,15
[lit] gliejù [lit] gliẽti [grc] γλῑ́νη [lav] glīve [lit] gleīvės [deu] Kleie [grc] γλία [lat] glittus [lav] glits [lav] glîts [lit] glitùs [lit] glytùs [lat] glūten [grc] γλοιός [sqi] ngjis [sqi] ngjit,*gleyH-,"to smear, putty, to stick, glue",root,21
[lat] glūs [grc] γλουτός [san] ग्लौ [lat] gluo,*glew-,"to ball up, clump together, swelling, lump",root,4
[lav] gliêbtiês,*gleybʰ-,to stick,root,1
[lav] ir̃t [lit] i̇̀rti [gmy] 𐀁𐀩𐀁 [sga] ráïd [bre] reuñv [cym] rhaw [gle] rámh [gle] rámha [gla] ràmh [lat] rēmus [gmy] 𐀁𐀩𐀲 [lat] ratis [lav] ir̃kls [lav] ir̃klis [lit] i̇̀rklas [san] अरित्र,*h₁reh₁-,to row,root,25
[lav] rēds [lit] rę̃ns [lit] rę̄ns [lit] rę̄ds [grc] ἐρῆμος [grc] ἔρημος [gmy] 𐀁𐀩𐀗 [lat] rārus [grc] ἐρωή [non] rór [mid] araf [ave] 𐬭𐬁𐬨𐬀𐬥 [gle] áras [lat] rēte,*h₁reh₁-,"to separate, loose, sparse, rare, quiet, lonesome",root,14
[lit] vójęs [lav] vâjêt [grc] ἐάω [hit] 𒌋𒌦𒄩𒀭𒍣 [san] अवासीत् [gmy] 𐀸𐀄𐀵𐀛 [grc] ᾱ̓ήθως [lat] vānus [lat] vāstus [hye] ունայն [grc] εὖνις [sqi] vonë [gle] uaimh [gla] uaimh,*h₁weh₂-,"to be/become empty, to be extinguished",root,21
[xcl] քաղցր [lat] suāvis,*swéh₂dus,sweet,adj,2
[grc] εὔαδε [grc] ἅδε [san] स्वादते [san] स्वदते [grc] ἑᾱδότᾰ [san] सुषूदिम [grc] ἁνδᾰ́νω [san] स्वदन्ति [san] सुवदन्ति [san] सूदयति [lat] suādeō [lit] sū́dyti [san] स्वाद्मन् [san] स्वादिमन् [ave] 𐬵𐬎𐬛𐬆𐬨𐬀 [san] स्वाद [san] प्रस्वादस् [goh] swozisto [grc] ἥδῐστος [xto] swār [txb] swāre [san] स्वात्त [ave] 𐬓𐬁𐬯𐬙𐬀 [lat] suāsus [sqi] shije [san] स्वादन,*sweh₂d-,"sweet, tasty?",root,27
[lat] spīca [eng] spire [deu] Spier [nld] spier [deu] Speier [isl] spíra [swe] spira [dan] spir,*spey-,"long, thin, sharp",root,269
[xcl] բուռն [grc] φώρ [lat] fūr,*bʰṓr,thief,noun,3
[lav] dunēt [san] ध्वनति [san] धुनि [san] ध्वनि [san] ध्वन्,*dʰwen-,to make a noise,root,5
[ell] -τερος [lat] -ter [lat] -iter [san] -तर [ave] -𐬙𐬀𐬭𐬀 [fas] ـتر,*-teros,Contrastive or oppositional adjectival suffix.,suffix,7
[hit] māi- [lat] mānis [lat] mānī [lat] mānē [lat] mānēs [lat] mānus [lat] immānis [grc] -μωρος [lat] mātūrus [lat] Mātūta [lat] mātūtīnus [grc] ἀμαυρός [grc] μαυρός,*meh₂-,"good, great, timely, opportune",root,13
[lat] mānō [bre] man [cym] mawn [gle] móin [gla] mòine,*meh₂-,"wet, damp",root,5
[grc] -της [ave] -𐬙𐬁𐬝,*-teh₂ts,Used to form nouns representing state of being,suffix,2
